0,1
JMU,Temp
Stan,USC
App,UK
UCLA,OrSt
UTex,Wash
CCar,GaSt
AF,UNLV
Neb,TTU
TxSt,UTEP
PaSt,UCF
ECU,FAU
UGA,Mia
NIU,Colo
TCU,WSU
Iowa,Louv
Ball,Tol
VPI,Duke
Ill,Wisc
Akr,ODU
OU,UTSA
Buff,Rutg
Navy,UNC
WKU,Tuln
FSU,Tenn
FrSt,SDSU
GT,Pitt
MiaO,WMU
SoMS,USF
Kent,BC
Ore,Utah
UtSt,UNM
Bay,KSU
Bowl,Mich
Char,ULM
ArSt,Rice
Hou,Memp
ASU,Hawa
Ind,MidT
BoSt,Ariz
SMU,Tuls
Mary,MSU
USCe,UF
Nev,Cal
Cinc,Minn
Mizz,OkSt
KU,CoSt
WVU,Syr
SJSU,Wyo
Vand,NoTX
NW,FIU
UVA,Wake
Clem,OhSt
Purd,CMU
Troy,LaTe
Lous,IaSt
GASO,SoAL
EMU,Ohio
NCSU,Mars
