0,1
Bay,OkSt
SMU,TxSt
Kent,Pitt
Stan,UNLV
ECU,BC
Mia,Tuln
FrSt,Ore
Bowl,CMU
Mars,WKU
WMU,Tol
Mary,Rutg
Ball,EMU
LaTe,SoAL
Ind,MiaO
UVA,VPI
GASO,Troy
Char,MidT
ULM,FIU
GaSt,FAU
Ariz,Utah
Cinc,Mich
Duke,ODU
Navy,PaSt
Mizz,Minn
OU,Neb
ArSt,NoTX
Buff,NIU
Colo,UNM
FSU,USF
KU,Iowa
CoSt,ASU
Purd,NW
CCar,Wake
Vand,App
Syr,Temp
NCSU,UF
UGA,UK
Rice,UTex
Clem,UCF
Memp,TCU
AF,WSU
Cal,UCLA
Louv,Tenn
SoMS,Lous
Akr,Ohio
USC,BoSt
UTEP,UtSt
Wisc,IaSt
JMU,WVU
OhSt,GT
Wyo,Hawa
UNC,USCe
Hou,UTSA
KSU,Wash
Ill,MSU
Tuls,TTU
SJSU,OrSt
Nev,SDSU
