0,1
SMU,Lous
SoAL,USF
Rice,SoMS
ECU,Temp
Ind,WKU
ArSt,KU
OkSt,UTex
SJSU,WSU
FSU,Tuln
ULM,TxSt
Troy,Mia
TTU,TCU
Mich,Pitt
Memp,UK
Stan,Wyo
Ohio,Cinc
Vand,NIU
BoSt,OrSt
UNM,UTSA
UCLA,Ariz
UVA,App
UGA,UF
WMU,NW
Bowl,Ball
Utah,Wash
Louv,Minn
Purd,Iowa
MiaO,CMU
ODU,Rutg
UCF,FIU
USCe,Wake
Char,BC
NoTX,Tuls
Neb,CoSt
WVU,Akr
Duke,CCar
Mizz,Wisc
GASO,GaSt
VPI,Mars
Hou,LaTe
Bay,OU
Nev,FrSt
SDSU,UtSt
Kent,Buff
Ill,IaSt
JMU,PaSt
MSU,OhSt
GT,Tenn
Navy,Syr
UNLV,Hawa
UTEP,Colo
AF,ASU
Cal,USC
KSU,Ore
Clem,NCSU
Mary,UNC
Tol,EMU
MidT,FAU
