0,1
WMU,NIU
UtSt,Wyo
UTEP,SDSU
Tol,MSU
Minn,Neb
GaSt,SoAL
WVU,Kent
OkSt,Ariz
FrSt,Stan
Ball,WKU
Colo,Hawa
Cinc,Ind
ECU,Duke
GT,UCF
Ore,WSU
LaTe,Rice
UNC,VPI
CCar,UGA
UNLV,CoSt
TCU,UTex
Char,USCe
TTU,UTSA
MidT,FIU
NCSU,Wake
Mia,UF
Wisc,CMU
Clem,FSU
Hou,Tuln
SJSU,UCLA
ODU,Temp
Syr,Mary
Akr,Pitt
IaSt,KU
EMU,Buff
Ohio,MiaO
SoMS,Troy
Tuls,ULM
Lous,Memp
OhSt,PaSt
GASO,App
Bay,SMU
Mars,JMU
Tenn,UK
ArSt,Vand
Navy,Rutg
USC,Wash
AF,Utah
Bowl,NW
OU,KSU
Ill,Mich
FAU,USF
Cal,BoSt
Nev,OrSt
Purd,Louv
Iowa,Mizz
ASU,UNM
NoTX,TxSt
UVA,BC
