0,1
MiaO,Iowa
UGA,FSU
GT,Ore
ULM,UTEP
App,ECU
BoSt,UtSt
KSU,IaSt
Bowl,BC
TxSt,Colo
Akr,Ind
JMU,Rutg
Tuln,UF
GASO,USF
Purd,Ball
UTex,UCF
Wisc,WMU
Cinc,WKU
LaTe,Tuls
GaSt,Vand
Wake,Mars
UVA,Navy
Cal,WSU
ArSt,MidT
Louv,OhSt
NIU,FIU
Lous,SoAL
CoSt,UNM
EMU,Syr
UNLV,USC
OU,TTU
Kent,Temp
ASU,OrSt
FAU,Rice
Ariz,AF
Tenn,NCSU
Bay,NoTX
Tol,CMU
KU,Minn
Mizz,Memp
Clem,Mich
Mary,Pitt
ODU,VPI
Ill,Neb
UNC,Char
CCar,Troy
TCU,OkSt
FrSt,Utah
Duke,WVU
SDSU,Stan
UCLA,Wash
Nev,Wyo
Ohio,UK
MSU,PaSt
SMU,UTSA
USCe,Mia
Buff,NW
Hou,SoMS
SJSU,Hawa
