0,1
Navy,ODU
FrSt,UNLV
Cinc,Louv
Stan,Nev
Tol,Kent
Tenn,Vand
Ill,NW
FAU,Mia
SoMS,Tuln
Clem,USCe
VPI,Wake
Ind,Purd
UCF,UF
MiaO,UK
WVU,UVA
App,Char
MidT,WKU
Pitt,PaSt
Akr,Buff
Mich,MSU
FSU,SoAL
OkSt,OU
Neb,Iowa
Lous,Hou
AF,Wyo
UNM,UTEP
LaTe,ArSt
NoTX,SMU
GaSt,Troy
KSU,Mizz
Bowl,EMU
WSU,UtSt
Ball,OhSt
Syr,Rutg
ASU,SDSU
NCSU,Duke
Mars,Ohio
UTSA,Rice
IaSt,Minn
TxSt,UTex
UNC,ECU
Ore,Wash
JMU,Mary
BoSt,Utah
Temp,BC
CCar,GASO
UGA,GT
CoSt,Colo
Cal,SJSU
ULM,Memp
UCLA,USC
KU,Tuls
OrSt,Hawa
CMU,WMU
NIU,Wisc
Ariz,TTU
FIU,USF
Bay,TCU
