0,1
Ball,Ind
Louv,WKU
Ill,KSU
UVA,Temp
SMU,TTU
UtSt,OrSt
SoAL,UF
UCF,USF
UTex,Lous
EMU,WMU
GASO,FAU
IaSt,Neb
OU,TCU
Utah,CoSt
Vand,Troy
Rutg,BC
Tol,Ohio
CCar,ECU
OhSt,Pitt
Akr,Mich
FrSt,Cal
ArSt,Mizz
UNC,ODU
Nev,UCLA
Stan,Hawa
Ariz,UNM
Iowa,NIU
Navy,JMU
GT,NCSU
Bowl,MiaO
VPI,Clem
OkSt,AF
NW,CMU
BoSt,WSU
Colo,ASU
Bay,Tuln
TxSt,Hou
SJSU,Wash
Kent,Syr
Cinc,UK
UTSA,UTEP
UGA,USCe
GaSt,App
NoTX,LaTe
FSU,Mia
USC,Ore
MidT,Tuls
Rice,ULM
Purd,Wisc
UNLV,SDSU
Mars,Tenn
Memp,SoMS
Wyo,KU
MSU,Minn
Mary,PaSt
Wake,Duke
WVU,Buff
Char,FIU
