0,1
TxSt,FAU
Mizz,WKU
Mars,Ind
Clem,PaSt
ULM,Colo
Tenn,UF
CoSt,Hawa
UTex,Ore
ECU,Rutg
Navy,Pitt
BoSt,Stan
Vand,LaTe
WMU,Mich
NCSU,Char
FrSt,OrSt
MSU,Syr
UCLA,WSU
MiaO,ArSt
WVU,Ohio
SJSU,ASU
USC,Utah
Memp,SoAL
KU,AF
Duke,App
Bowl,FIU
Cinc,Iowa
FSU,TCU
IaSt,Ariz
UNM,SDSU
Ill,NIU
Tol,BC
SMU,Rice
Purd,UK
Akr,NW
KSU,GT
CCar,Temp
Louv,Wisc
Troy,Tuln
VPI,GaSt
ODU,Buff
SoMS,Mia
UNLV,Wyo
EMU,Kent
Tuls,UTSA
UVA,UNC
UTEP,Nev
NoTX,UtSt
Mary,OhSt
Hou,Bay
UCF,USCe
GASO,MidT
OU,Minn
Neb,OkSt
Cal,Wash
Ball,CMU
UGA,USF
Lous,TTU
JMU,Wake
