0,1
KSU,Neb
CoSt,Wyo
Buff,PaSt
BoSt,Nev
NCSU,CCar
USC,SDSU
Wisc,Minn
UTex,Bay
TxSt,UTSA
UCF,FAU
USF,UF
Pitt,WVU
Cal,Hawa
FIU,Mia
ASU,UNLV
SoAL,SoMS
Rutg,Temp
Lous,Tuln
GT,GaSt
OkSt,Tuls
Cinc,MiaO
IaSt,Iowa
Akr,Kent
CMU,MSU
LaTe,ULM
Utah,UtSt
Char,Wake
ECU,ODU
Syr,BC
Hou,Rice
NoTX,OU
Bowl,Tol
WSU,Wash
UNM,TTU
Mary,Navy
JMU,UVA
Clem,UGA
Mars,UK
WKU,Tenn
ArSt,Memp
FSU,Troy
KU,Mizz
NIU,NW
EMU,Mich
Ill,Purd
App,VPI
SJSU,Stan
Colo,AF
USCe,GASO
Ariz,UTEP
Ball,WMU
Duke,UNC
SMU,TCU
Ohio,OhSt
UCLA,FrSt
Louv,Ind
MidT,Vand
Ore,OrSt
