0,1
Bay,UTSA
Mizz,Neb
WMU,Purd
Colo,Wyo
SDSU,Hawa
BoSt,Wash
Char,CCar
Rice,TxSt
CMU,NIU
UCF,FSU
SoAL,Troy
Ind,Ill
UNLV,Utah
Clem,GT
USC,Ariz
KSU,KU
Wake,App
MidT,MiaO
TTU,OkSt
Memp,Tuln
SoMS,ULM
Mars,Kent
Cal,Ore
ASU,UTEP
Cinc,Ball
Hou,UTex
USF,Mia
Mich,OhSt
NW,Wisc
Buff,Syr
Mary,ODU
Duke,UVA
SMU,OU
JMU,Pitt
GASO,FIU
Tol,Akr
ArSt,Tuls
Nev,UtSt
WVU,BC
UNC,NCSU
Navy,Temp
LaTe,Lous
WSU,OrSt
EMU,MSU
NoTX,TCU
PaSt,Rutg
Louv,Vand
Tenn,USCe
AF,UNM
FAU,UF
Bowl,Ohio
IaSt,CoSt
UK,WKU
VPI,ECU
UCLA,Stan
Iowa,Minn
GaSt,UGA
FrSt,SJSU
