0,1
GaSt,MidT
UGA,GASO
OU,Tuls
FrSt,USC
Purd,NIU
UTex,UTSA
MSU,WMU
Mich,Tol
Mizz,IaSt
FAU,FIU
NCSU,ECU
Bay,TxSt
Wyo,UNM
Ill,Minn
BoSt,Ore
Kent,Ohio
USF,Troy
Mary,Temp
Clem,Tenn
CMU,EMU
Ball,MiaO
KU,Neb
Syr,PaSt
UVA,ODU
TCU,Hou
JMU,VPI
Navy,WVU
TTU,UTEP
UCF,Mia
CCar,USCe
Vand,WKU
Louv,UK
UNLV,SJSU
Ariz,ASU
BC,Buff
FSU,UF
SDSU,UCLA
Ind,NW
NoTX,Rice
Pitt,Rutg
OrSt,Wash
Lous,ULM
Char,Duke
Cinc,OhSt
GT,Memp
SoAL,Tuln
SMU,LaTe
Akr,Bowl
Colo,UtSt
KSU,OkSt
Wisc,Iowa
App,Mars
AF,CoSt
UNC,Wake
ArSt,SoMS
Nev,Hawa
Utah,WSU
Cal,Stan
